attendance_id,student_id,school_id,date,status,attendance_rate,week_of_year
39673,153,3,2021-01-01,1,0.47,1
39934,154,3,2021-01-01,0,0.47,1
3133,13,1,2021-01-01,0,0.53,1
40195,155,3,2021-01-01,0,0.47,1
40456,156,3,2021-01-01,1,0.47,1
2872,12,1,2021-01-01,1,0.53,1
40717,157,3,2021-01-01,1,0.47,1
40978,158,3,2021-01-01,0,0.47,1
2611,11,1,2021-01-01,1,0.53,1
41239,159,3,2021-01-01,0,0.47,1
41500,160,3,2021-01-01,1,0.47,1
2350,10,1,2021-01-01,1,0.53,1
41761,161,3,2021-01-01,0,0.47,1
42022,162,3,2021-01-01,0,0.47,1
42283,163,3,2021-01-01,0,0.47,1
30799,119,2,2021-01-01,0,0.25,1
7309,29,1,2021-01-01,1,0.53,1
30538,118,2,2021-01-01,0,0.25,1
30277,117,2,2021-01-01,0,0.25,1
12529,49,1,2021-01-01,1,0.53,1
19054,74,2,2021-01-01,1,0.25,1
19315,75,2,2021-01-01,1,0.25,1
12268,48,1,2021-01-01,0,0.53,1
19576,76,2,2021-01-01,0,0.25,1
19837,77,2,2021-01-01,0,0.25,1
20098,78,2,2021-01-01,1,0.25,1
12007,47,1,2021-01-01,0,0.53,1
18793,73,2,2021-01-01,0,0.25,1
20359,79,2,2021-01-01,0,0.25,1
11746,46,1,2021-01-01,0,0.53,1
20881,81,2,2021-01-01,0,0.25,1
21142,82,2,2021-01-01,0,0.25,1
11485,45,1,2021-01-01,1,0.53,1
21403,83,2,2021-01-01,0,0.25,1
21664,84,2,2021-01-01,1,0.25,1
11224,44,1,2021-01-01,0,0.53,1
21925,85,2,2021-01-01,0,0.25,1
20620,80,2,2021-01-01,0,0.25,1
18532,72,2,2021-01-01,1,0.25,1
12790,50,1,2021-01-01,1,0.53,1
18271,71,2,2021-01-01,0,0.25,1
14878,58,1,2021-01-01,1,0.53,1
14356,56,1,2021-01-01,0,0.53,1
15139,59,1,2021-01-01,0,0.53,1
15400,60,1,2021-01-01,0,0.53,1
14095,55,1,2021-01-01,0,0.53,1
15661,61,2,2021-01-01,0,0.25,1
15922,62,2,2021-01-01,1,0.25,1
13834,54,1,2021-01-01,1,0.53,1
16183,63,2,2021-01-01,0,0.25,1
16444,64,2,2021-01-01,1,0.25,1
13573,53,1,2021-01-01,1,0.53,1
16705,65,2,2021-01-01,1,0.25,1
16966,66,2,2021-01-01,0,0.25,1
17227,67,2,2021-01-01,0,0.25,1
13312,52,1,2021-01-01,0,0.53,1
17488,68,2,2021-01-01,0,0.25,1
17749,69,2,2021-01-01,0,0.25,1
13051,51,1,2021-01-01,1,0.53,1
18010,70,2,2021-01-01,0,0.25,1
22186,86,2,2021-01-01,0,0.25,1
262,2,1,2021-01-01,0,0.53,1
22447,87,2,2021-01-01,0,0.25,1
22708,88,2,2021-01-01,0,0.25,1
8875,35,1,2021-01-01,0,0.53,1
27145,105,2,2021-01-01,0,0.25,1
27406,106,2,2021-01-01,0,0.25,1
27667,107,2,2021-01-01,0,0.25,1
8614,34,1,2021-01-01,1,0.53,1
27928,108,2,2021-01-01,1,0.25,1
28189,109,2,2021-01-01,0,0.25,1
8353,33,1,2021-01-01,0,0.53,1
26884,104,2,2021-01-01,0,0.25,1
28450,110,2,2021-01-01,0,0.25,1
8092,32,1,2021-01-01,0,0.53,1
28972,112,2,2021-01-01,1,0.25,1
29233,113,2,2021-01-01,0,0.25,1
7831,31,1,2021-01-01,0,0.53,1
29494,114,2,2021-01-01,1,0.25,1
29755,115,2,2021-01-01,0,0.25,1
30016,116,2,2021-01-01,1,0.25,1
7570,30,1,2021-01-01,1,0.53,1
28711,111,2,2021-01-01,1,0.25,1
26623,103,2,2021-01-01,0,0.25,1
9136,36,1,2021-01-01,1,0.53,1
26362,102,2,2021-01-01,0,0.25,1
22969,89,2,2021-01-01,1,0.25,1
10702,42,1,2021-01-01,0,0.53,1
23230,90,2,2021-01-01,1,0.25,1
23491,91,2,2021-01-01,0,0.25,1
10441,41,1,2021-01-01,1,0.53,1
23752,92,2,2021-01-01,0,0.25,1
24013,93,2,2021-01-01,0,0.25,1
10180,40,1,2021-01-01,1,0.53,1
24274,94,2,2021-01-01,0,0.25,1
24535,95,2,2021-01-01,0,0.25,1
24796,96,2,2021-01-01,0,0.25,1
9919,39,1,2021-01-01,1,0.53,1
25057,97,2,2021-01-01,0,0.25,1
25318,98,2,2021-01-01,0,0.25,1
9658,38,1,2021-01-01,1,0.53,1
25579,99,2,2021-01-01,0,0.25,1
25840,100,2,2021-01-01,0,0.25,1
9397,37,1,2021-01-01,0,0.53,1
26101,101,2,2021-01-01,0,0.25,1
10963,43,1,2021-01-01,1,0.53,1
46459,179,3,2021-01-01,1,0.47,1
14617,57,1,2021-01-01,1,0.53,1
46720,180,3,2021-01-01,0,0.47,1
23753,92,2,2021-01-04,1,0.25,1
3917,16,1,2021-01-04,0,0.53,1
7571,30,1,2021-01-04,1,0.53,1
34715,134,3,2021-01-04,1,0.43,1
18794,73,2,2021-01-04,0,0.25,1
39674,153,3,2021-01-04,0,0.43,1
30539,118,2,2021-01-04,0,0.25,1
42284,163,3,2021-01-04,0,0.43,1
29756,115,2,2021-01-04,0,0.25,1
8093,32,1,2021-01-04,1,0.53,1
16967,66,2,2021-01-04,0,0.25,1
7310,29,1,2021-01-04,0,0.53,1
33410,129,3,2021-01-04,1,0.43,1
31844,123,3,2021-01-04,0,0.43,1
33671,130,3,2021-01-04,0,0.43,1
28973,112,2,2021-01-04,0,0.25,1
25841,100,2,2021-01-04,0,0.25,1
42023,162,3,2021-01-04,0,0.43,1
8876,35,1,2021-01-04,0,0.53,1
13835,54,1,2021-01-04,0,0.53,1
27146,105,2,2021-01-04,1,0.25,1
12269,48,1,2021-01-04,0,0.53,1
19577,76,2,2021-01-04,0,0.25,1
10964,43,1,2021-01-04,0,0.53,1
35498,137,3,2021-01-04,0,0.43,1
34193,132,3,2021-01-04,1,0.43,1
20360,79,2,2021-01-04,0,0.25,1
42545,164,3,2021-01-04,0,0.43,1
5483,22,1,2021-01-04,1,0.53,1
2090,9,1,2021-01-04,1,0.53,1
30278,117,2,2021-01-04,0,0.25,1
44894,173,3,2021-01-04,0,0.43,1
39413,152,3,2021-01-04,1,0.43,1
22187,86,2,2021-01-04,0,0.25,1
26885,104,2,2021-01-04,0,0.25,1
24797,96,2,2021-01-04,0,0.25,1
40457,156,3,2021-01-04,0,0.43,1
38630,149,3,2021-01-04,0,0.43,1
11486,45,1,2021-01-04,1,0.53,1
21404,83,2,2021-01-04,0,0.25,1
6788,27,1,2021-01-04,0,0.53,1
26363,102,2,2021-01-04,0,0.25,1
19316,75,2,2021-01-04,1,0.25,1
18272,71,2,2021-01-04,1,0.25,1
15140,59,1,2021-01-04,1,0.53,1
39935,154,3,2021-01-04,1,0.43,1
3134,13,1,2021-01-04,1,0.53,1
32627,126,3,2021-01-04,1,0.43,1
41501,160,3,2021-01-04,0,0.43,1
16445,64,2,2021-01-04,0,0.25,1
14879,58,1,2021-01-04,0,0.53,1
26624,103,2,2021-01-04,0,0.25,1
8615,34,1,2021-01-04,1,0.53,1
2,1,1,2021-01-04,1,0.53,1
14357,56,1,2021-01-04,0,0.53,1
9137,36,1,2021-01-04,0,0.53,1
36281,140,3,2021-01-04,0,0.43,1
41240,159,3,2021-01-04,1,0.43,1
2612,11,1,2021-01-04,1,0.53,1
12008,47,1,2021-01-04,1,0.53,1
32366,125,3,2021-01-04,0,0.43,1
6005,24,1,2021-01-04,0,0.53,1
25319,98,2,2021-01-04,1,0.25,1
25580,99,2,2021-01-04,0,0.25,1
37847,146,3,2021-01-04,0,0.43,1
18533,72,2,2021-01-04,0,0.25,1
37586,145,3,2021-01-04,0,0.43,1
40979,158,3,2021-01-04,0,0.43,1
4178,17,1,2021-01-04,1,0.53,1
9920,39,1,2021-01-04,1,0.53,1
45155,174,3,2021-01-04,0,0.43,1
40196,155,3,2021-01-04,0,0.43,1
16184,63,2,2021-01-04,0,0.25,1
32888,127,3,2021-01-04,0,0.43,1
38369,148,3,2021-01-04,1,0.43,1
41762,161,3,2021-01-04,1,0.43,1
2351,10,1,2021-01-04,0,0.53,1
4961,20,1,2021-01-04,0,0.53,1
17750,69,2,2021-01-04,0,0.25,1
38108,147,3,2021-01-04,0,0.43,1
27668,107,2,2021-01-04,0,0.25,1
3656,15,1,2021-01-04,1,0.53,1
29234,113,2,2021-01-04,0,0.25,1
35759,138,3,2021-01-04,0,0.43,1
25058,97,2,2021-01-04,0,0.25,1
11225,44,1,2021-01-04,1,0.53,1
32105,124,3,2021-01-04,1,0.43,1
45677,176,3,2021-01-04,1,0.43,1
23492,91,2,2021-01-04,1,0.25,1
785,4,1,2021-01-04,1,0.53,1
3395,14,1,2021-01-04,1,0.53,1
42806,165,3,2021-01-04,1,0.43,1
22709,88,2,2021-01-04,0,0.25,1
36803,142,3,2021-01-04,0,0.43,1
23231,90,2,2021-01-04,0,0.25,1
43589,168,3,2021-01-04,1,0.43,1
2873,12,1,2021-01-04,0,0.53,1
22448,87,2,2021-01-04,1,0.25,1
15662,61,2,2021-01-04,0,0.25,1
13313,52,1,2021-01-04,0,0.53,1
15401,60,1,2021-01-04,1,0.53,1
21143,82,2,2021-01-04,0,0.25,1
20882,81,2,2021-01-04,0,0.25,1
19055,74,2,2021-01-04,0,0.25,1
10442,41,1,2021-01-04,0,0.53,1
524,3,1,2021-01-04,0,0.53,1
44633,172,3,2021-01-04,0,0.43,1
12530,49,1,2021-01-04,1,0.53,1
5744,23,1,2021-01-04,0,0.53,1
13052,51,1,2021-01-04,0,0.53,1
28712,111,2,2021-01-04,0,0.25,1
7832,31,1,2021-01-04,0,0.53,1
7049,28,1,2021-01-04,1,0.53,1
29495,114,2,2021-01-04,0,0.25,1
14096,55,1,2021-01-04,1,0.53,1
12791,50,1,2021-01-04,0,0.53,1
28190,109,2,2021-01-04,1,0.25,1
44372,171,3,2021-01-04,1,0.43,1
4700,19,1,2021-01-04,0,0.53,1
10703,42,1,2021-01-04,1,0.53,1
27407,106,2,2021-01-04,0,0.25,1
44111,170,3,2021-01-04,0,0.43,1
31061,120,2,2021-01-04,1,0.25,1
45938,177,3,2021-01-04,0,0.43,1
1307,6,1,2021-01-04,0,0.53,1
18011,70,2,2021-01-04,0,0.25,1
36542,141,3,2021-01-04,1,0.43,1
38891,150,3,2021-01-04,0,0.43,1
24014,93,2,2021-01-04,0,0.25,1
9659,38,1,2021-01-04,1,0.53,1
27929,108,2,2021-01-04,0,0.25,1
22970,89,2,2021-01-04,0,0.25,1
43850,169,3,2021-01-04,0,0.43,1
33149,128,3,2021-01-04,0,0.43,1
46199,178,3,2021-01-04,0,0.43,1
37325,144,3,2021-01-04,1,0.43,1
1568,7,1,2021-01-04,1,0.53,1
26102,101,2,2021-01-04,0,0.25,1
37064,143,3,2021-01-04,0,0.43,1
1046,5,1,2021-01-04,0,0.53,1
14618,57,1,2021-01-04,1,0.53,1
20621,80,2,2021-01-04,0,0.25,1
17489,68,2,2021-01-04,1,0.25,1
31583,122,3,2021-01-04,1,0.43,1
30017,116,2,2021-01-04,1,0.25,1
46721,180,3,2021-01-04,1,0.43,1
6527,26,1,2021-01-04,1,0.53,1
1829,8,1,2021-01-04,1,0.53,1
20099,78,2,2021-01-04,0,0.25,1
263,2,1,2021-01-04,0,0.53,1
11747,46,1,2021-01-04,1,0.53,1
24536,95,2,2021-01-04,1,0.25,1
36020,139,3,2021-01-04,1,0.43,1
34454,133,3,2021-01-04,1,0.43,1
8354,33,1,2021-01-04,0,0.53,1
28451,110,2,2021-01-04,0,0.25,1
35237,136,3,2021-01-04,1,0.43,1
40718,157,3,2021-01-04,1,0.43,1
4439,18,1,2021-01-04,0,0.53,1
15923,62,2,2021-01-04,1,0.25,1
19838,77,2,2021-01-04,0,0.25,1
39152,151,3,2021-01-04,0,0.43,1
5222,21,1,2021-01-04,1,0.53,1
13574,53,1,2021-01-04,1,0.53,1
43328,167,3,2021-01-04,1,0.43,1
31322,121,3,2021-01-04,0,0.43,1
9398,37,1,2021-01-04,1,0.53,1
16706,65,2,2021-01-04,1,0.25,1
6266,25,1,2021-01-04,1,0.53,1
30800,119,2,2021-01-04,0,0.25,1
21926,85,2,2021-01-04,0,0.25,1
17228,67,2,2021-01-04,0,0.25,1
46460,179,3,2021-01-04,1,0.43,1
10181,40,1,2021-01-04,0,0.53,1
24275,94,2,2021-01-04,1,0.25,1
34976,135,3,2021-01-04,1,0.43,1
45416,175,3,2021-01-04,0,0.43,1
33932,131,3,2021-01-04,0,0.43,1
43067,166,3,2021-01-04,1,0.43,1
21665,84,2,2021-01-04,0,0.25,1
13575,53,1,2021-01-05,0,0.43,1
30540,118,2,2021-01-05,1,0.37,1
40197,155,3,2021-01-05,0,0.47,1
16707,65,2,2021-01-05,0,0.37,1
39414,152,3,2021-01-05,1,0.47,1
25581,99,2,2021-01-05,0,0.37,1
10704,42,1,2021-01-05,0,0.43,1
38892,150,3,2021-01-05,0,0.47,1
33150,128,3,2021-01-05,0,0.47,1
22710,88,2,2021-01-05,0,0.37,1
23232,90,2,2021-01-05,1,0.37,1
26103,101,2,2021-01-05,0,0.37,1
525,3,1,2021-01-05,1,0.43,1
28713,111,2,2021-01-05,0,0.37,1
39153,151,3,2021-01-05,0,0.47,1
9399,37,1,2021-01-05,1,0.43,1
34977,135,3,2021-01-05,1,0.47,1
6267,25,1,2021-01-05,0,0.43,1
30018,116,2,2021-01-05,1,0.37,1
32628,126,3,2021-01-05,0,0.47,1
36021,139,3,2021-01-05,1,0.47,1
18273,71,2,2021-01-05,1,0.37,1
20361,79,2,2021-01-05,0,0.37,1
19317,75,2,2021-01-05,0,0.37,1
39675,153,3,2021-01-05,1,0.47,1
16968,66,2,2021-01-05,0,0.37,1
25842,100,2,2021-01-05,0,0.37,1
32889,127,3,2021-01-05,1,0.47,1
39936,154,3,2021-01-05,0,0.47,1
4962,20,1,2021-01-05,1,0.43,1
45678,176,3,2021-01-05,0,0.47,1
3135,13,1,2021-01-05,0,0.43,1
14358,56,1,2021-01-05,1,0.43,1
3,1,1,2021-01-05,1,0.43,1
3396,14,1,2021-01-05,1,0.43,1
40458,156,3,2021-01-05,0,0.47,1
29235,113,2,2021-01-05,0,0.37,1
28191,109,2,2021-01-05,1,0.37,1
35238,136,3,2021-01-05,0,0.47,1
10182,40,1,2021-01-05,0,0.43,1
24276,94,2,2021-01-05,0,0.37,1
43068,166,3,2021-01-05,0,0.47,1
15924,62,2,2021-01-05,0,0.37,1
1047,5,1,2021-01-05,1,0.43,1
20622,80,2,2021-01-05,0,0.37,1
31584,122,3,2021-01-05,1,0.47,1
30801,119,2,2021-01-05,0,0.37,1
1830,8,1,2021-01-05,1,0.43,1
24537,95,2,2021-01-05,1,0.37,1
42807,165,3,2021-01-05,0,0.47,1
46722,180,3,2021-01-05,1,0.47,1
10965,43,1,2021-01-05,0,0.43,1
35499,137,3,2021-01-05,1,0.47,1
42546,164,3,2021-01-05,1,0.47,1
22188,86,2,2021-01-05,1,0.37,1
2091,9,1,2021-01-05,0,0.43,1
20100,78,2,2021-01-05,0,0.37,1
31323,121,3,2021-01-05,0,0.47,1
43329,167,3,2021-01-05,0,0.47,1
5223,21,1,2021-01-05,0,0.43,1
12792,50,1,2021-01-05,0,0.43,1
44373,171,3,2021-01-05,0,0.47,1
44112,170,3,2021-01-05,1,0.47,1
31062,120,2,2021-01-05,0,0.37,1
1308,6,1,2021-01-05,0,0.43,1
24015,93,2,2021-01-05,1,0.37,1
43851,169,3,2021-01-05,0,0.47,1
14097,55,1,2021-01-05,1,0.43,1
29496,114,2,2021-01-05,0,0.37,1
7833,31,1,2021-01-05,1,0.43,1
43590,168,3,2021-01-05,0,0.47,1
22449,87,2,2021-01-05,1,0.37,1
15402,60,1,2021-01-05,0,0.43,1
15663,61,2,2021-01-05,1,0.37,1
10443,41,1,2021-01-05,0,0.43,1
44634,172,3,2021-01-05,0,0.47,1
7050,28,1,2021-01-05,0,0.43,1
1569,7,1,2021-01-05,1,0.43,1
19839,77,2,2021-01-05,0,0.37,1
44895,173,3,2021-01-05,1,0.47,1
23754,92,2,2021-01-05,0,0.37,1
24798,96,2,2021-01-05,0,0.37,1
19578,76,2,2021-01-05,0,0.37,1
16446,64,2,2021-01-05,0,0.37,1
41241,159,3,2021-01-05,1,0.47,1
2613,11,1,2021-01-05,0,0.43,1
32367,125,3,2021-01-05,0,0.47,1
786,4,1,2021-01-05,0,0.43,1
21927,85,2,2021-01-05,1,0.37,1
25320,98,2,2021-01-05,1,0.37,1
40980,158,3,2021-01-05,0,0.47,1
21144,82,2,2021-01-05,1,0.37,1
11226,44,1,2021-01-05,0,0.43,1
8094,32,1,2021-01-05,0,0.43,1
5484,22,1,2021-01-05,0,0.43,1
34455,133,3,2021-01-05,1,0.47,1
40719,157,3,2021-01-05,1,0.47,1
45417,175,3,2021-01-05,1,0.47,1
6528,26,1,2021-01-05,1,0.43,1
2874,12,1,2021-01-05,1,0.43,1
9660,38,1,2021-01-05,1,0.43,1
28974,112,2,2021-01-05,0,0.37,1
8616,34,1,2021-01-05,0,0.43,1
41502,160,3,2021-01-05,0,0.47,1
18534,72,2,2021-01-05,1,0.37,1
34716,134,3,2021-01-05,0,0.47,1
12270,48,1,2021-01-05,1,0.43,1
18795,73,2,2021-01-05,0,0.37,1
42285,163,3,2021-01-05,1,0.47,1
29757,115,2,2021-01-05,1,0.37,1
13836,54,1,2021-01-05,0,0.43,1
7311,29,1,2021-01-05,0,0.43,1
31845,123,3,2021-01-05,0,0.47,1
42024,162,3,2021-01-05,0,0.47,1
15141,59,1,2021-01-05,0,0.43,1
9921,39,1,2021-01-05,0,0.43,1
45156,174,3,2021-01-05,1,0.47,1
16185,63,2,2021-01-05,0,0.37,1
41763,161,3,2021-01-05,1,0.47,1
2352,10,1,2021-01-05,1,0.43,1
27669,107,2,2021-01-05,0,0.37,1
25059,97,2,2021-01-05,0,0.37,1
23493,91,2,2021-01-05,0,0.37,1
32106,124,3,2021-01-05,1,0.47,1
6789,27,1,2021-01-05,1,0.43,1
3657,15,1,2021-01-05,1,0.43,1
35760,138,3,2021-01-05,0,0.47,1
37848,146,3,2021-01-05,1,0.47,1
8355,33,1,2021-01-05,1,0.43,1
33672,130,3,2021-01-05,1,0.47,1
46200,178,3,2021-01-05,1,0.47,1
11748,46,1,2021-01-05,0,0.43,1
34194,132,3,2021-01-05,1,0.47,1
4179,17,1,2021-01-05,1,0.43,1
28452,110,2,2021-01-05,0,0.37,1
19056,74,2,2021-01-05,0,0.37,1
12531,49,1,2021-01-05,0,0.43,1
36543,141,3,2021-01-05,1,0.47,1
18012,70,2,2021-01-05,0,0.37,1
33933,131,3,2021-01-05,0,0.47,1
21666,84,2,2021-01-05,0,0.37,1
22971,89,2,2021-01-05,1,0.37,1
17490,68,2,2021-01-05,0,0.37,1
3918,16,1,2021-01-05,1,0.43,1
26625,103,2,2021-01-05,0,0.37,1
30279,117,2,2021-01-05,1,0.37,1
27930,108,2,2021-01-05,0,0.37,1
37326,144,3,2021-01-05,0,0.47,1
33411,129,3,2021-01-05,0,0.47,1
20883,81,2,2021-01-05,1,0.37,1
37587,145,3,2021-01-05,1,0.47,1
36804,142,3,2021-01-05,1,0.47,1
17751,69,2,2021-01-05,0,0.37,1
5745,23,1,2021-01-05,1,0.43,1
14880,58,1,2021-01-05,0,0.43,1
27147,105,2,2021-01-05,1,0.37,1
8877,35,1,2021-01-05,1,0.43,1
12009,47,1,2021-01-05,1,0.43,1
26364,102,2,2021-01-05,1,0.37,1
38631,149,3,2021-01-05,0,0.47,1
264,2,1,2021-01-05,0,0.43,1
13053,51,1,2021-01-05,1,0.43,1
36282,140,3,2021-01-05,0,0.47,1
37065,143,3,2021-01-05,0,0.47,1
38370,148,3,2021-01-05,0,0.47,1
38109,147,3,2021-01-05,1,0.47,1
4701,19,1,2021-01-05,0,0.43,1
27408,106,2,2021-01-05,0,0.37,1
21405,83,2,2021-01-05,1,0.37,1
11487,45,1,2021-01-05,1,0.43,1
9138,36,1,2021-01-05,0,0.43,1
45939,177,3,2021-01-05,1,0.47,1
26886,104,2,2021-01-05,0,0.37,1
13314,52,1,2021-01-05,0,0.43,1
6006,24,1,2021-01-05,0,0.43,1
17229,67,2,2021-01-05,1,0.37,1
4440,18,1,2021-01-05,0,0.43,1
14619,57,1,2021-01-05,0,0.43,1
7572,30,1,2021-01-05,0,0.43,1
46461,179,3,2021-01-05,0,0.47,1
7051,28,1,2021-01-06,1,0.57,1
12010,47,1,2021-01-06,1,0.57,1
265,2,1,2021-01-06,0,0.57,1
27670,107,2,2021-01-06,0,0.28,1
28192,109,2,2021-01-06,0,0.28,1
14620,57,1,2021-01-06,0,0.57,1
27148,105,2,2021-01-06,1,0.28,1
32629,126,3,2021-01-06,0,0.38,1
29236,113,2,2021-01-06,1,0.28,1
20101,78,2,2021-01-06,0,0.28,1
15925,62,2,2021-01-06,0,0.28,1
40198,155,3,2021-01-06,1,0.38,1
24277,94,2,2021-01-06,1,0.28,1
2614,11,1,2021-01-06,0,0.57,1
40981,158,3,2021-01-06,1,0.38,1
19057,74,2,2021-01-06,0,0.28,1
8095,32,1,2021-01-06,1,0.57,1
14359,56,1,2021-01-06,1,0.57,1
42808,165,3,2021-01-06,0,0.38,1
33412,129,3,2021-01-06,0,0.38,1
787,4,1,2021-01-06,0,0.57,1
6007,24,1,2021-01-06,1,0.57,1
4963,20,1,2021-01-06,1,0.57,1
20884,81,2,2021-01-06,0,0.28,1
45679,176,3,2021-01-06,0,0.38,1
21928,85,2,2021-01-06,0,0.28,1
37849,146,3,2021-01-06,1,0.38,1
41764,161,3,2021-01-06,0,0.38,1
15664,61,2,2021-01-06,1,0.28,1
24538,95,2,2021-01-06,1,0.28,1
3136,13,1,2021-01-06,1,0.57,1
14881,58,1,2021-01-06,0,0.57,1
4441,18,1,2021-01-06,1,0.57,1
17752,69,2,2021-01-06,1,0.28,1
43069,166,3,2021-01-06,0,0.38,1
5746,23,1,2021-01-06,1,0.57,1
32368,125,3,2021-01-06,0,0.38,1
2353,10,1,2021-01-06,0,0.57,1
25582,99,2,2021-01-06,1,0.28,1
25321,98,2,2021-01-06,0,0.28,1
10444,41,1,2021-01-06,0,0.57,1
35761,138,3,2021-01-06,0,0.38,1
11227,44,1,2021-01-06,0,0.57,1
20623,80,2,2021-01-06,0,0.28,1
43330,167,3,2021-01-06,0,0.38,1
45418,175,3,2021-01-06,1,0.38,1
44896,173,3,2021-01-06,1,0.38,1
41242,159,3,2021-01-06,1,0.38,1
33934,131,3,2021-01-06,1,0.38,1
5485,22,1,2021-01-06,0,0.57,1
38110,147,3,2021-01-06,0,0.38,1
31324,121,3,2021-01-06,0,0.38,1
41503,160,3,2021-01-06,0,0.38,1
21145,82,2,2021-01-06,0,0.28,1
8617,34,1,2021-01-06,0,0.57,1
1048,5,1,2021-01-06,1,0.57,1
40720,157,3,2021-01-06,0,0.38,1
26626,103,2,2021-01-06,0,0.28,1
17491,68,2,2021-01-06,0,0.28,1
34456,133,3,2021-01-06,0,0.38,1
44635,172,3,2021-01-06,1,0.38,1
30802,119,2,2021-01-06,0,0.28,1
16447,64,2,2021-01-06,0,0.28,1
37066,143,3,2021-01-06,0,0.38,1
6529,26,1,2021-01-06,0,0.57,1
30541,118,2,2021-01-06,0,0.28,1
12532,49,1,2021-01-06,0,0.57,1
9139,36,1,2021-01-06,0,0.57,1
13054,51,1,2021-01-06,1,0.57,1
8356,33,1,2021-01-06,1,0.57,1
16708,65,2,2021-01-06,0,0.28,1
3919,16,1,2021-01-06,1,0.57,1
1831,8,1,2021-01-06,0,0.57,1
10183,40,1,2021-01-06,1,0.57,1
46462,179,3,2021-01-06,0,0.38,1
13576,53,1,2021-01-06,0,0.57,1
1570,7,1,2021-01-06,1,0.57,1
46201,178,3,2021-01-06,1,0.38,1
25060,97,2,2021-01-06,0,0.28,1
40459,156,3,2021-01-06,1,0.38,1
4180,17,1,2021-01-06,1,0.57,1
31585,122,3,2021-01-06,1,0.38,1
36283,140,3,2021-01-06,1,0.38,1
19840,77,2,2021-01-06,0,0.28,1
23494,91,2,2021-01-06,0,0.28,1
35239,136,3,2021-01-06,0,0.38,1
5224,21,1,2021-01-06,0,0.57,1
2875,12,1,2021-01-06,0,0.57,1
32107,124,3,2021-01-06,1,0.38,1
28975,112,2,2021-01-06,0,0.28,1
9661,38,1,2021-01-06,1,0.57,1
15403,60,1,2021-01-06,1,0.57,1
16186,63,2,2021-01-06,1,0.28,1
19579,76,2,2021-01-06,0,0.28,1
