meal_id,school_id,menu,date,meal_quality_score,remarks,preparation_time,cooking_temperature,serving_temperature,calories,meal_wastage,weather_conditions,is_wastage_high,cooking_serving_diff,calories_per_meal,weather_conditions_encoded,menu_Chapati & Vegetables,menu_Idli & Sambar,menu_Khichdi,menu_Pulao,menu_Rice & Dal
28,1,Chapati & Vegetables,2021-03-27,9.42,Average,43,81.76,69.19,319.97,2,Warm,0,12.570000000000007,33.967091295116774,3,True,False,False,False,False
29,1,Idli & Sambar,2021-09-20,8.77,Average,62,67.02,60.8,389.16,0,Rainy,0,6.219999999999999,44.37400228050171,2,False,True,False,False,False
30,1,Idli & Sambar,2021-04-26,6.89,Average,116,67.7,69.76,230.31,0,Warm,0,-2.0600000000000023,33.4267053701016,3,False,True,False,False,False
31,1,Pulao,2021-06-26,8.24,Good,116,72.15,73.56,250.99,10,Hot,1,-1.4099999999999966,30.45995145631068,1,False,False,False,True,False
32,1,Rice & Dal,2021-01-09,8.76,No Remarks,97,60.33,73.29,409.89,1,Cold,0,-12.960000000000008,46.79109589041096,0,False,False,False,False,True
33,1,Chapati & Vegetables,2021-04-13,8.39,No Remarks,30,69.2,70.83,495.21,3,Warm,0,-1.6299999999999955,59.023837902264596,3,True,False,False,False,False
34,1,Khichdi,2021-11-07,7.77,Good,100,68.19,60.86,219.71,7,Rainy,0,7.329999999999998,28.27670527670528,2,False,False,True,False,False
35,1,Chapati & Vegetables,2021-12-17,7.34,Good,31,75.85,65.77,244.88,2,Cold,0,10.079999999999998,33.36239782016349,0,True,False,False,False,False
36,1,Rice & Dal,2021-09-28,7.51,Good,73,72.97,56.61,247.66,7,Rainy,0,16.36,32.977363515312916,2,False,False,False,False,True
37,1,Idli & Sambar,2021-04-05,6.23,No Remarks,83,89.35,69.74,311.28,0,Warm,0,19.61,49.96468699839485,3,False,True,False,False,False
38,1,Idli & Sambar,2021-08-16,9.62,Average,68,72.41,69.13,282.88,10,Hot,1,3.280000000000001,29.405405405405407,1,False,True,False,False,False
39,1,Khichdi,2021-09-24,6.7,Good,111,62.77,64.02,223.27,3,Rainy,0,-1.249999999999993,33.32388059701493,2,False,False,True,False,False
40,1,Chapati & Vegetables,2021-09-18,8.89,Average,40,83.88,65.88,234.75,0,Rainy,0,18.0,26.40607424071991,2,True,False,False,False,False
41,1,Rice & Dal,2021-08-09,9.52,Average,39,71.79,64.35,300.46,2,Hot,0,7.440000000000012,31.560924369747898,1,False,False,False,False,True
42,1,Chapati & Vegetables,2021-03-01,9.13,Good,53,64.36,71.37,494.19,3,Warm,0,-7.010000000000005,54.12814895947425,3,True,False,False,False,False
43,1,Pulao,2021-10-16,7.1,Average,113,61.24,74.9,335.5,9,Rainy,1,-13.660000000000004,47.25352112676057,2,False,False,False,True,False
44,1,Pulao,2021-07-02,8.39,Average,120,80.59,64.83,278.13,10,Hot,1,15.760000000000005,33.150178784266984,1,False,False,False,True,False
45,1,Khichdi,2021-09-12,7.35,Good,69,68.27,50.16,373.39,1,Rainy,0,18.11,50.80136054421769,2,False,False,True,False,False
46,1,Rice & Dal,2021-11-09,6.02,Good,42,68.48,63.74,410.37,9,Rainy,1,4.740000000000002,68.16777408637874,2,False,False,False,False,True
47,1,Chapati & Vegetables,2021-12-02,9.01,Average,104,89.88,62.27,271.32,1,Cold,0,27.609999999999992,30.11320754716981,0,True,False,False,False,False
48,1,Idli & Sambar,2021-12-11,6.41,Good,80,74.53,62.1,330.01,4,Cold,0,12.43,51.483619344773786,0,False,True,False,False,False
49,1,Khichdi,2021-10-11,10.0,No Remarks,54,67.2,50.98,435.22,10,Rainy,1,16.220000000000006,43.522000000000006,2,False,False,True,False,False
50,1,Pulao,2021-06-18,7.3,Poor,101,67.79,67.47,403.68,2,Hot,0,0.3200000000000074,55.298630136986304,1,False,False,False,True,False
51,1,Khichdi,2021-05-04,6.53,Average,116,86.2,67.05,382.57,1,Warm,0,19.150000000000006,58.586523736600306,3,False,False,True,False,False
52,1,Khichdi,2021-09-24,7.42,Poor,59,86.39,50.76,442.71,0,Rainy,0,35.63,59.6644204851752,2,False,False,True,False,False
53,1,Idli & Sambar,2021-09-26,6.41,No Remarks,116,78.62,64.52,260.0,0,Rainy,0,14.100000000000009,40.5616224648986,2,False,True,False,False,False
54,1,Pulao,2021-05-21,8.95,Poor,84,69.08,55.05,226.62,5,Warm,0,14.030000000000001,25.320670391061455,3,False,False,False,True,False
55,1,Chapati & Vegetables,2021-07-24,9.09,Good,48,71.91,59.71,219.58,8,Hot,0,12.199999999999996,24.156215621562158,1,True,False,False,False,False
56,1,Idli & Sambar,2021-07-10,8.86,Good,95,86.58,71.12,430.55,0,Hot,0,15.459999999999994,48.59480812641084,1,False,True,False,False,False
57,1,Rice & Dal,2021-04-19,9.2,Good,32,85.83,61.97,299.55,4,Warm,0,23.86,32.559782608695656,3,False,False,False,False,True
58,1,Chapati & Vegetables,2021-07-28,7.62,No Remarks,72,62.7,61.66,438.85,4,Hot,0,1.0400000000000063,57.59186351706037,1,True,False,False,False,False
59,1,Chapati & Vegetables,2021-06-08,6.56,Good,86,62.16,70.72,343.93,0,Hot,0,-8.560000000000002,52.42835365853659,1,True,False,False,False,False
60,1,Chapati & Vegetables,2021-06-26,6.81,Average,110,87.87,65.32,499.92,9,Hot,1,22.55000000000001,73.40969162995596,1,True,False,False,False,False
61,1,Pulao,2021-03-27,8.51,Average,63,75.21,61.47,456.24,2,Warm,0,13.739999999999995,53.612220916568745,3,False,False,False,True,False
62,1,Idli & Sambar,2021-11-01,7.13,Average,89,61.54,67.0,326.42,10,Rainy,1,-5.460000000000001,45.781206171107996,2,False,True,False,False,False
63,1,Khichdi,2021-04-14,8.11,No Remarks,109,76.37,61.05,297.52,2,Warm,0,15.320000000000007,36.68557336621455,3,False,False,True,False,False
64,1,Khichdi,2021-06-16,5.72,Good,88,85.11,51.65,221.7,2,Hot,0,33.46,38.75874125874126,1,False,False,True,False,False
65,1,Pulao,2021-10-18,7.87,Good,98,64.19,60.13,238.68,0,Rainy,0,4.059999999999995,30.327827191867854,2,False,False,False,True,False
66,1,Rice & Dal,2021-05-14,9.26,Good,110,68.64,66.26,477.16,1,Warm,0,2.3799999999999955,51.52915766738661,3,False,False,False,False,True
67,1,Rice & Dal,2021-05-05,7.7,Average,69,,65.31,220.08,4,Warm,0,,28.581818181818182,3,False,False,False,False,True
68,1,Rice & Dal,2021-04-04,6.87,Average,33,63.25,71.68,461.33,3,Warm,0,-8.430000000000007,67.1513828238719,3,False,False,False,False,True
69,1,Khichdi,2021-03-15,6.34,Poor,78,75.01,68.71,447.48,1,Warm,0,6.300000000000011,70.58044164037855,3,False,False,True,False,False
70,1,Pulao,2021-04-14,5.96,Good,49,61.01,62.68,232.13,5,Warm,0,-1.6700000000000017,38.947986577181204,3,False,False,False,True,False
71,1,Pulao,2021-10-13,8.64,No Remarks,119,66.57,74.0,267.45,0,Rainy,0,-7.430000000000007,30.954861111111107,2,False,False,False,True,False
72,1,Chapati & Vegetables,2021-02-07,6.08,Good,89,88.16,51.11,352.72,2,Cold,0,37.05,58.01315789473684,0,True,False,False,False,False
73,1,Chapati & Vegetables,2021-03-18,9.5,Poor,77,76.97,66.51,232.41,3,Warm,0,10.459999999999994,24.46421052631579,3,True,False,False,False,False
74,1,Rice & Dal,2021-03-06,7.95,Poor,46,85.6,72.65,230.03,4,Warm,0,12.949999999999989,28.934591194968554,3,False,False,False,False,True
75,1,Rice & Dal,2021-10-05,8.47,No Remarks,82,76.43,73.0,300.08,9,Rainy,1,3.430000000000007,35.42857142857142,2,False,False,False,False,True
76,1,Pulao,2021-03-01,8.27,No Remarks,42,86.68,53.5,360.33,1,Warm,0,33.18000000000001,43.57073760580411,3,False,False,False,True,False
77,1,Pulao,2021-01-05,8.06,Good,112,85.13,61.87,242.64,0,Cold,0,23.259999999999998,30.104218362282875,0,False,False,False,True,False
78,1,Chapati & Vegetables,2021-03-08,8.42,Average,72,70.02,71.78,298.92,5,Warm,0,-1.7600000000000051,35.50118764845606,3,True,False,False,False,False
79,1,Khichdi,2021-03-23,5.87,Good,94,65.53,54.3,427.4,0,Warm,0,11.230000000000004,72.81090289608177,3,False,False,True,False,False
80,1,Rice & Dal,2021-04-09,6.89,Average,33,83.39,56.89,468.73,4,Warm,0,26.5,68.03047895500727,3,False,False,False,False,True
81,1,Idli & Sambar,2021-04-08,8.54,Poor,46,76.22,74.33,369.88,0,Warm,0,1.8900000000000006,43.31147540983607,3,False,True,False,False,False
82,1,Pulao,2021-06-17,6.76,Good,48,61.5,52.94,253.5,3,Hot,0,8.560000000000002,37.5,1,False,False,False,True,False
83,1,Chapati & Vegetables,2021-01-09,9.1,Average,52,77.17,69.56,414.08,3,Cold,0,7.609999999999999,45.503296703296705,0,True,False,False,False,False
84,1,Rice & Dal,2021-01-20,8.62,No Remarks,106,78.4,66.56,449.95,4,Cold,0,11.840000000000003,52.19837587006961,0,False,False,False,False,True
85,1,Rice & Dal,2021-09-22,7.62,Poor,72,83.58,57.16,366.88,4,Rainy,0,26.42,48.14698162729659,2,False,False,False,False,True
86,1,Chapati & Vegetables,2021-01-19,8.73,Poor,47,63.72,72.83,219.89,5,Cold,0,-9.11,25.187857961053833,0,True,False,False,False,False
87,1,Pulao,2021-01-01,6.5,Poor,86,71.61,61.38,351.61,2,Cold,0,10.229999999999997,54.09384615384616,0,False,False,False,True,False
88,1,Idli & Sambar,2021-10-07,8.05,Poor,32,85.37,62.81,261.48,1,Rainy,0,22.560000000000002,32.48198757763975,2,False,True,False,False,False
89,1,Idli & Sambar,2021-12-06,6.9,Poor,106,74.11,55.34,382.42,4,Cold,0,18.769999999999996,55.4231884057971,0,False,True,False,False,False
90,1,Chapati & Vegetables,2021-11-17,7.93,Average,72,64.41,60.67,495.91,8,Rainy,0,3.739999999999995,62.535939470365705,2,True,False,False,False,False
91,1,Idli & Sambar,2021-05-10,7.94,Good,104,82.67,53.09,497.33,1,Warm,0,29.58,62.63602015113349,3,False,True,False,False,False
92,1,Rice & Dal,2021-07-19,7.08,Good,48,86.36,58.39,463.62,6,Hot,0,27.97,65.48305084745763,1,False,False,False,False,True
93,1,Rice & Dal,2021-08-08,6.57,Average,114,63.77,51.39,376.39,2,Hot,0,12.380000000000003,57.28919330289193,1,False,False,False,False,True
94,1,Chapati & Vegetables,2021-12-16,5.76,Good,118,76.81,59.7,212.66,3,Cold,0,17.11,36.92013888888889,0,True,False,False,False,False
95,1,Khichdi,2021-04-27,7.51,Good,30,85.91,70.69,307.96,1,Warm,0,15.219999999999999,41.00665778961385,3,False,False,True,False,False
96,1,Idli & Sambar,2021-02-22,7.25,Average,73,86.52,59.0,393.34,4,Cold,0,27.519999999999996,54.253793103448274,0,False,True,False,False,False
97,1,Pulao,2021-08-25,7.56,Poor,116,66.29,65.63,322.92,8,Hot,0,0.6600000000000108,42.714285714285715,1,False,False,False,True,False
98,1,Rice & Dal,2021-12-13,8.23,Poor,51,84.43,61.87,310.13,4,Cold,0,22.56000000000001,37.682867557715674,0,False,False,False,False,True
99,1,Chapati & Vegetables,2021-11-13,7.65,Good,102,60.34,59.87,463.54,2,Rainy,0,0.47000000000000597,60.59346405228758,2,True,False,False,False,False
100,1,Pulao,2021-02-10,8.24,Poor,42,62.0,66.38,377.86,1,Cold,0,-4.3799999999999955,45.85679611650485,0,False,False,False,True,False
101,1,Idli & Sambar,2021-02-07,7.48,Poor,44,73.04,64.07,273.57,3,Cold,0,8.970000000000013,36.5735294117647,0,False,True,False,False,False
102,1,Chapati & Vegetables,2021-07-18,5.8,Poor,64,64.26,74.89,497.52,9,Hot,1,-10.629999999999995,85.77931034482758,1,True,False,False,False,False
103,1,Khichdi,2021-12-01,6.73,Poor,60,79.36,59.79,335.18,1,Cold,0,19.57,49.803863298662705,0,False,False,True,False,False
104,1,Idli & Sambar,2021-11-21,8.46,No Remarks,105,84.37,66.29,388.22,8,Rainy,0,18.08,45.888888888888886,2,False,True,False,False,False
105,1,Idli & Sambar,2021-05-10,7.91,No Remarks,71,69.97,60.24,360.71,2,Warm,0,9.729999999999997,45.60176991150442,3,False,True,False,False,False
106,1,Rice & Dal,2021-06-27,8.61,Good,55,66.18,53.5,480.11,10,Hot,1,12.680000000000007,55.761904761904766,1,False,False,False,False,True
107,1,Idli & Sambar,2021-12-02,6.3,Poor,103,71.95,65.18,479.23,1,Cold,0,6.769999999999996,76.06825396825397,0,False,True,False,False,False
108,1,Chapati & Vegetables,2021-06-03,5.48,Average,43,71.36,61.19,209.52,8,Hot,0,10.170000000000002,38.23357664233576,1,True,False,False,False,False
109,1,Khichdi,2021-01-08,7.2,Good,116,71.21,56.17,392.96,1,Cold,0,15.039999999999992,54.577777777777776,0,False,False,True,False,False
110,1,Rice & Dal,2021-06-15,8.71,Good,88,70.8,61.21,407.29,2,Hot,0,9.589999999999996,46.76119402985074,1,False,False,False,False,True
111,1,Idli & Sambar,2021-10-01,6.85,Good,52,85.45,60.76,419.16,5,Rainy,0,24.690000000000005,61.19124087591241,2,False,True,False,False,False
112,1,Khichdi,2021-04-16,8.64,Poor,117,77.69,66.29,397.2,2,Warm,0,11.399999999999991,45.97222222222222,3,False,False,True,False,False
113,1,Idli & Sambar,2021-06-03,7.06,No Remarks,70,80.05,70.27,495.67,7,Hot,0,9.780000000000001,70.20821529745044,1,False,True,False,False,False
114,1,Rice & Dal,2021-05-08,8.16,Average,107,66.02,51.93,313.24,5,Warm,0,14.089999999999996,38.38725490196079,3,False,False,False,False,True
115,1,Rice & Dal,2021-02-23,6.79,Poor,41,70.67,66.34,383.37,2,Cold,0,4.329999999999998,56.46097201767305,0,False,False,False,False,True
116,1,Chapati & Vegetables,2021-01-17,6.18,Poor,92,73.86,56.9,475.86,5,Cold,0,16.96,77.0,0,True,False,False,False,False
117,1,Khichdi,2021-01-06,6.71,Poor,45,68.83,69.57,232.17,1,Cold,0,-0.7399999999999949,34.600596125186286,0,False,False,True,False,False
118,1,Khichdi,2021-08-18,8.07,Poor,73,68.8,56.99,225.42,10,Hot,1,11.809999999999995,27.933085501858734,1,False,False,True,False,False
119,1,Khichdi,2021-04-18,7.51,Average,59,64.46,70.06,461.96,2,Warm,0,-5.6000000000000085,61.51264980026631,3,False,False,True,False,False
120,1,Chapati & Vegetables,2021-04-21,6.85,Average,77,79.82,71.15,364.27,2,Warm,0,8.669999999999987,53.17810218978102,3,True,False,False,False,False
121,1,Rice & Dal,2021-12-01,9.16,Poor,95,76.75,63.91,265.31,3,Cold,0,12.840000000000003,28.963973799126638,0,False,False,False,False,True
122,1,Idli & Sambar,2021-08-03,7.82,Average,50,73.95,68.55,225.25,4,Hot,0,5.400000000000006,28.804347826086957,1,False,True,False,False,False
123,1,Pulao,2021-03-06,6.12,Poor,53,71.2,53.46,479.27,4,Warm,0,17.740000000000002,78.31209150326796,3,False,False,False,True,False
124,1,Chapati & Vegetables,2021-08-23,8.86,Poor,74,89.37,54.67,373.3,5,Hot,0,34.7,42.1331828442438,1,True,False,False,False,False
125,1,Rice & Dal,2021-04-15,8.27,Good,32,81.65,58.45,312.61,1,Warm,0,23.200000000000003,37.80048367593712,3,False,False,False,False,True
126,1,Chapati & Vegetables,2021-11-26,7.12,Poor,62,60.04,63.08,453.54,9,Rainy,1,-3.039999999999999,63.699438202247194,2,True,False,False,False,False
127,1,Chapati & Vegetables,2021-05-12,8.6,No Remarks,103,82.18,55.89,257.43,1,Warm,0,26.290000000000006,29.93372093023256,3,True,False,False,False,False
128,1,Khichdi,2021-11-17,8.22,Poor,39,89.53,58.37,422.15,9,Rainy,1,31.160000000000004,51.35644768856447,2,False,False,True,False,False
129,1,Chapati & Vegetables,2021-04-28,7.13,Good,68,78.98,62.92,452.64,1,Warm,0,16.060000000000002,63.483870967741936,3,True,False,False,False,False
130,1,Chapati & Vegetables,2021-10-19,7.14,Average,95,75.54,66.85,269.61,5,Rainy,0,8.690000000000012,37.760504201680675,2,True,False,False,False,False
131,1,Pulao,2021-03-08,7.43,No Remarks,112,75.72,56.14,420.22,3,Warm,0,19.58,56.55720053835801,3,False,False,False,True,False
132,1,Rice & Dal,2021-11-03,7.7,Average,47,,65.06,269.66,7,Rainy,0,,35.020779220779225,2,False,False,False,False,True
133,1,Rice & Dal,2021-09-07,6.39,No Remarks,85,65.44,63.3,460.31,7,Rainy,0,2.1400000000000006,72.0359937402191,2,False,False,False,False,True
134,1,Idli & Sambar,2021-06-06,9.11,Poor,35,69.09,74.09,369.74,3,Hot,0,-5.0,40.58616904500549,1,False,True,False,False,False
135,1,Khichdi,2021-12-10,10.0,Good,95,79.68,64.37,287.03,0,Cold,0,15.310000000000002,28.702999999999996,0,False,False,True,False,False
136,1,Idli & Sambar,2021-03-03,6.83,Poor,64,86.85,64.2,459.24,3,Warm,0,22.64999999999999,67.23865300146413,3,False,True,False,False,False
137,1,Khichdi,2021-09-23,7.86,No Remarks,54,88.9,64.6,210.39,7,Rainy,0,24.30000000000001,26.767175572519083,2,False,False,True,False,False
138,1,Khichdi,2021-10-12,9.83,No Remarks,112,69.0,62.01,339.15,4,Rainy,0,6.990000000000002,34.50152594099695,2,False,False,True,False,False
139,1,Idli & Sambar,2021-02-22,7.24,No Remarks,92,66.01,66.56,405.54,4,Cold,0,-0.5499999999999972,56.01381215469613,0,False,True,False,False,False
140,1,Pulao,2021-06-22,7.22,Good,31,66.52,72.84,420.29,3,Hot,0,-6.320000000000007,58.211911357340725,1,False,False,False,True,False
141,1,Chapati & Vegetables,2021-01-20,7.89,Good,84,74.47,60.31,201.72,2,Cold,0,14.159999999999997,25.566539923954373,0,True,False,False,False,False
142,1,Chapati & Vegetables,2021-03-23,6.87,Good,87,78.97,61.27,271.29,4,Warm,0,17.699999999999996,39.48908296943232,3,True,False,False,False,False
143,1,Rice & Dal,2021-11-03,7.31,Good,113,70.7,62.97,294.25,2,Rainy,0,7.730000000000004,40.2530779753762,2,False,False,False,False,True
144,1,Pulao,2021-08-22,6.31,Poor,102,62.39,51.76,477.94,4,Hot,0,10.630000000000003,75.743264659271,1,False,False,False,True,False
145,1,Rice & Dal,2021-07-18,7.18,Poor,95,68.1,62.51,300.89,1,Hot,0,5.589999999999996,41.9066852367688,1,False,False,False,False,True
146,1,Rice & Dal,2021-01-11,6.76,Average,89,88.71,58.21,491.72,5,Cold,0,30.499999999999993,72.7396449704142,0,False,False,False,False,True
147,1,Khichdi,2021-04-05,5.78,No Remarks,90,75.42,66.71,205.18,2,Warm,0,8.710000000000008,35.49826989619377,3,False,False,True,False,False
148,1,Rice & Dal,2021-02-13,6.42,Poor,35,71.77,67.77,457.44,5,Cold,0,4.0,71.25233644859813,0,False,False,False,False,True
149,1,Rice & Dal,2021-06-12,9.79,Good,33,86.43,63.04,265.48,8,Hot,0,23.390000000000008,27.117466802860065,1,False,False,False,False,True
150,1,Pulao,2021-05-18,6.5,Poor,104,88.45,60.26,218.55,3,Warm,0,28.190000000000005,33.62307692307692,3,False,False,False,True,False
151,1,Idli & Sambar,2021-09-21,6.76,Poor,96,61.51,58.88,436.19,1,Rainy,0,2.6299999999999955,64.52514792899409,2,False,True,False,False,False
152,1,Pulao,2021-09-10,8.29,No Remarks,117,81.06,62.53,386.17,2,Rainy,0,18.53,46.5826296743064,2,False,False,False,True,False
153,1,Rice & Dal,2021-10-04,6.58,No Remarks,99,72.9,61.2,376.66,10,Rainy,1,11.700000000000003,57.24316109422493,2,False,False,False,False,True
154,1,Idli & Sambar,2021-11-16,7.65,Good,111,86.98,73.35,310.36,2,Rainy,0,13.63000000000001,40.569934640522874,2,False,True,False,False,False
155,1,Khichdi,2021-04-28,8.64,No Remarks,40,61.35,57.46,287.38,2,Warm,0,3.8900000000000006,33.26157407407407,3,False,False,True,False,False
156,1,Khichdi,2021-04-23,6.46,Poor,70,61.63,61.39,457.06,5,Warm,0,0.240000000000002,70.75232198142415,3,False,False,True,False,False
157,1,Chapati & Vegetables,2021-07-02,6.11,Poor,31,83.04,62.85,299.73,4,Hot,0,20.190000000000005,49.0556464811784,1,True,False,False,False,False
158,1,Khichdi,2021-11-27,9.78,Average,30,82.13,60.04,203.55,7,Rainy,0,22.089999999999996,20.812883435582826,2,False,False,True,False,False
159,1,Idli & Sambar,2021-10-20,5.56,Poor,43,60.43,60.72,483.21,4,Rainy,0,-0.28999999999999915,86.90827338129496,2,False,True,False,False,False
160,1,Idli & Sambar,2021-07-18,8.28,Average,71,83.88,74.9,235.71,4,Hot,0,8.97999999999999,28.467391304347828,1,False,True,False,False,False
161,1,Chapati & Vegetables,2021-04-09,9.11,Average,73,78.15,72.08,451.03,1,Warm,0,6.070000000000007,49.50933040614709,3,True,False,False,False,False
162,1,Khichdi,2021-09-07,8.11,Average,80,70.76,54.62,282.67,4,Rainy,0,16.140000000000008,34.85450061652281,2,False,False,True,False,False
163,1,Chapati & Vegetables,2021-02-10,6.25,No Remarks,115,86.56,58.93,435.81,5,Cold,0,27.630000000000003,69.7296,0,True,False,False,False,False
164,1,Pulao,2021-12-18,9.87,Average,71,66.32,52.96,205.53,5,Cold,0,13.359999999999992,20.82370820668693,0,False,False,False,True,False
165,1,Khichdi,2021-09-26,9.69,Poor,112,70.09,61.32,201.66,9,Rainy,1,8.770000000000003,20.811145510835914,2,False,False,True,False,False
166,1,Pulao,2021-11-14,6.17,Average,104,68.04,52.34,294.64,4,Rainy,0,15.700000000000003,47.753646677471636,2,False,False,False,True,False
167,1,Khichdi,2021-06-12,5.82,No Remarks,64,87.87,68.17,339.0,5,Hot,0,19.700000000000003,58.24742268041237,1,False,False,True,False,False
168,1,Pulao,2021-10-21,8.84,No Remarks,90,70.21,53.97,443.07,5,Rainy,0,16.239999999999995,50.1210407239819,2,False,False,False,True,False
169,1,Chapati & Vegetables,2021-10-27,9.98,Poor,73,87.2,50.97,278.03,3,Rainy,0,36.230000000000004,27.858717434869735,2,True,False,False,False,False
170,1,Chapati & Vegetables,2021-09-26,7.39,Good,93,69.69,74.81,372.28,2,Rainy,0,-5.1200000000000045,50.37618403247632,2,True,False,False,False,False
171,1,Idli & Sambar,2021-06-20,9.52,Poor,103,77.9,72.75,452.58,4,Hot,0,5.150000000000006,47.53991596638655,1,False,True,False,False,False
172,1,Pulao,2021-07-22,8.64,Good,61,66.23,66.17,474.16,8,Hot,0,0.060000000000002274,54.879629629629626,1,False,False,False,True,False
173,1,Pulao,2021-12-16,7.67,Poor,32,83.42,60.54,348.45,4,Cold,0,22.880000000000003,45.43024771838331,0,False,False,False,True,False
174,1,Idli & Sambar,2021-11-07,8.08,Average,95,75.89,50.78,259.57,9,Rainy,1,25.11,32.125,2,False,True,False,False,False
175,1,Khichdi,2021-11-06,8.32,No Remarks,67,69.8,59.22,207.46,5,Rainy,0,10.579999999999998,24.935096153846153,2,False,False,True,False,False
176,1,Rice & Dal,2021-06-17,7.5,Good,70,83.79,71.56,319.05,4,Hot,0,12.230000000000004,42.54,1,False,False,False,False,True
177,1,Chapati & Vegetables,2021-11-03,7.27,Average,34,63.62,66.21,433.7,10,Rainy,1,-2.5899999999999963,59.65612104539203,2,True,False,False,False,False
178,1,Chapati & Vegetables,2021-05-03,8.35,Good,81,69.93,59.36,287.32,2,Warm,0,10.570000000000007,34.40958083832336,3,True,False,False,False,False
179,1,Rice & Dal,2021-02-08,6.67,Good,32,63.41,58.76,499.27,3,Cold,0,4.649999999999999,74.85307346326836,0,False,False,False,False,True
